d,N,sqrtN,estimate,true,fractional_error,sigma,sigma_frac,inside,r
3,64,8.0,4.375,4.1887902047863905,0.044454314040563256,0.4977978850648122,0.11884049110313408,35,1.0
3,128,11.313708498984761,3.9375,4.1887902047863905,0.05999111736349307,0.35351022958589895,0.0843943507082199,63,1.0
3,256,16.0,3.96875,4.1887902047863905,0.052530729406060475,0.24999237048904988,0.05968128224788913,127,1.0
3,512,22.627416997969522,4.15625,4.1887902047863905,0.0077684016614649075,0.17664177389332256,0.042170117207464795,266,1.0
3,1024,32.0,4.2890625,4.1887902047863905,0.023938247157623622,0.12467317771398341,0.02976352875623218,549,1.0
3,2048,45.254833995939045,4.2734375,4.1887902047863905,0.020208053178907323,0.08818158625855556,0.021051803014100208,1094,1.0
3,4096,64.0,4.15625,4.1887902047863905,0.0077684016614649075,0.06245229808039462,0.014909387920414937,2128,1.0
3,8192,90.50966799187809,4.1787109375,4.1887902047863905,0.0024062478170602296,0.04415004379711687,0.010540046562052235,4279,1.0
3,16384,128.0,4.19677734375,4.1887902047863905,0.0019067889708304889,0.031212163302143544,0.0074513551111914005,8595,1.0
3,32768,181.01933598375618,4.18701171875,4.1887902047863905,0.00042458226586719686,0.022072923391647358,0.005269522299404102,17150,1.0
3,65536,256.0,4.213134765625,4.1887902047863905,0.005811835792299113,0.01560280336069235,0.0037248949214175367,34514,1.0
3,131072,362.03867196751236,4.1978759765625,4.1887902047863905,0.0021690682349589786,0.011035016280189274,0.002634416082137494,68778,1.0
3,262144,512.0,4.190643310546875,4.1887902047863905,0.00044239641277975505,0.007803621695514871,0.0018629774502905237,137319,1.0
5,64,8.0,3.5,5.263789013914325,0.33507973234715843,1.248436522214886,0.23717449899962995,7,1.0
5,128,11.313708498984761,6.25,5.263789013914325,0.1873576208086457,1.1213046948755723,0.21302234795344382,25,1.0
5,256,16.0,7.25,5.263789013914325,0.37733484013802904,0.8372142702886759,0.1590516390523214,58,1.0
5,512,22.627416997969522,5.4375,5.263789013914325,0.03300113010352176,0.5311279156596542,0.10090220452523234,87,1.0
5,1024,32.0,5.71875,5.263789013914325,0.08643222303991081,0.38311008642147637,0.07278218891539182,183,1.0
5,2048,45.254833995939045,5.140625,5.263789013914325,0.02339835688488891,0.25965156058597816,0.04932788147465903,329,1.0
5,4096,64.0,5.2578125,5.263789013914325,0.001135401494726804,0.1852767986497008,0.035198371013720205,673,1.0
5,8192,90.50966799187809,5.18359375,5.263789013914325,0.015235273241829472,0.13026291577401214,0.02474698652048449,1327,1.0
5,16384,128.0,5.345703125,5.263789013914325,0.015561815047894776,0.0932558454791211,0.017716486210334066,2737,1.0
5,32768,181.01933598375618,5.185546875,5.263789013914325,0.01486422398532677,0.06514135480764949,0.012375373449706005,5310,1.0
5,65536,256.0,5.32568359375,5.263789013914325,0.011758560168742082,0.04655800518023997,0.008844960361665013,10907,1.0
5,131072,362.03867196751236,5.222412109375,5.263789013914325,0.007860669268838274,0.03266377184930488,0.006205372548740329,21391,1.0
5,262144,512.0,5.2327880859375,5.263789013914325,0.005889470093667671,0.02311522798816242,0.004391366737355832,42867,1.0
10,64,8.0,0.0,2.550164039877345,1.0,0.0,0.0,0,1.0
10,128,11.313708498984761,0.0,2.550164039877345,1.0,0.0,0.0,0,1.0
10,256,16.0,4.0,2.550164039877345,0.5685265486656252,3.992179855667828,1.5654600226657729,1,1.0
10,512,22.627416997969522,10.0,2.550164039877345,2.921316371664063,4.4502457797294745,1.7450821633982092,5,1.0
10,1024,32.0,4.0,2.550164039877345,0.5685265486656252,1.996089927833914,0.7827300113328864,4,1.0
10,2048,45.254833995939045,2.0,2.550164039877345,0.21573672566718738,0.9990229601966113,0.39174850894872676,4,1.0
10,4096,64.0,3.25,2.550164039877345,0.2744278207908205,0.8999562570749967,0.3529013204649697,13,1.0
10,8192,90.50966799187809,2.125,2.550164039877345,0.1667202710213866,0.5148531598865032,0.20189021248659203,17,1.0
10,16384,128.0,2.125,2.550164039877345,0.1667202710213866,0.36405616067106816,0.14275793830446223,34,1.0
10,32768,181.01933598375618,2.8125,2.550164039877345,0.10287022953051775,0.2960561199986578,0.11609297102820772,90,1.0
10,65536,256.0,2.21875,2.550164039877345,0.12995793003703598,0.18599153743227623,0.07293316607241541,142,1.0
10,131072,362.03867196751236,2.4296875,2.550164039877345,0.047242662822247164,0.13761138894866337,0.05396177924118248,311,1.0
10,262144,512.0,2.45703125,2.550164039877345,0.03652031336847824,0.0978506463092658,0.03837033413504337,629,1.0
